,Are you on the waiting list?,Program,"Programming and Analytical Experiences [R, data manipulation and modeling]",What code/text editor do you use most?,"Programming and Analytical Experiences [R, graphic basics (base, lattice, grid etc. )]","Programming and Analytical Experiences [R, advanced (multivariate data analysis, e.g. spatiotemporal data, visualization and modeling)]",Programming and Analytical Experiences [Reproducible documentation with R (e.g. R Markdown)],"Programming and Analytical Experiences [Matlab, data manipulation, analysis, visualization and modeling]",Programming and Analytical Experiences [Github],R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs), regular expressions (grep), Github, shell (terminal / command line), LaTeX, Sweave/knitr, XML, Web: html css js,Excel, C/C++,Matlab, R, SPSS, lattice,RStudio,Github,SQL,shell (terminal / command line),Python
81,False,Other masters,2,RStudio,1,1,0,0,0,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,False,IDSE (master),1,Atom/Sublime text,1,1,1,1,1,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
83,False,IDSE (master),1,RStudio,1,1,1,1,0,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
84,False,IDSE (master),0,Any (20 years C++/Java experience),0,0,0,2,1,False,True,True,False,False,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False
85,False,IDSE (master),2,Sublime Text,0,0,2,2,2,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
86,False,IDSE (master),1,RStudio,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
87,False,Data Science Certification,0,notepad++,0,0,0,0,1,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
88,False,Data Science Certification,0,Sublime Text,0,0,0,0,1,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
89,False,Data Science Certification,2,RStudio,1,1,2,0,1,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,False,IDSE (master),2,RStudio,1,0,1,0,1,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
91,False,Data Science Certification,1,Sublime Text,0,0,0,0,2,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
92,False,IDSE (master),1,Sublime Text/ Eclipse,1,1,1,0,3,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
93,False,Data Science Certification,1,python,1,0,0,1,1,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,False,Data Science Certification,1,vi/vim,0,0,0,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
